,USC00479319_prcp,USC00479319_snow,USC00479319_snwd,USC00479319_tmax,USC00479319_tmin,USC00205662_prcp,USC00205662_snow,USC00205662_snwd,USC00205662_tmax,USC00205662_tmin,Superior,Michigan-Huron,St. Clair,Erie,Ontario
1922-12-31,1.5211827956989246,4.4,6.026315789473684,19.822715053763442,6.731680107526882,3.2152553763440856,1.3548387096774193,57.375,19.398198924731176,6.7068279569892475,183.40875,176.515,174.9025,173.98624999999998,74.74375
1923-12-31,1.8347299027137733,4.320308499743984,60.47196934329287,13.821520362130764,-0.09634203347634977,2.1494623655913974,7.344086021505379,171.5,12.618175883256527,1.1496044546851005,183.22416666666663,176.26416666666668,174.6525,173.75750000000002,74.44333333333333
1924-12-31,2.8519728710913363,5.623288957159924,106.80517040149395,11.228653407764456,-0.7857307502162897,1.6574419107650478,9.3179211469534,183.33928571428575,13.499258435298477,1.3865140279322692,183.13,176.1866666666667,174.63750000000002,173.84333333333336,74.55749999999999
1925-12-31,2.4410513530382283,5.177643369175628,104.21783625730995,13.370229504723497,0.3662302016679173,3.2569310035842283,11.698387096774193,10.847222222222223,12.948515160622451,0.4654721276074721,183.0291666666667,175.91916666666665,174.40583333333333,173.59333333333336,74.39
1926-12-31,3.4980443548387097,6.314976958525346,92.1761254789272,13.871366708158975,-0.1649353558627764,2.1825448028673833,6.683474142345112,103.97500000000001,12.421108550947261,0.2395974142345123,182.94333333333336,175.885,174.40166666666664,173.64083333333335,74.40249999999999
1927-12-31,2.5702809779825913,5.730286738351254,52.67063492063492,14.85077838827839,0.6377752176139276,2.0903187403993857,4.993471582181261,45.944444444444436,14.14035650281618,1.3332859703020996,183.32333333333335,176.1483333333333,174.59833333333333,173.81833333333336,74.60666666666667
1928-12-31,2.8980051523297488,12.58992244469163,123.88964646464645,14.16445761494253,1.1870053145470263,2.418292701767396,4.123384006921271,27.439814814814813,13.796384290460717,1.9782645204911782,183.4716666666667,176.4433333333333,174.80499999999998,173.9516666666667,74.80083333333333
1929-12-31,2.7197491997776626,10.6597414234511,190.1138888888889,12.969106502816187,-0.9077698128235733,2.0156451612903226,4.389538530465949,62.5114985820631,13.54958845366103,1.2877412954429086,183.49749999999997,176.89583333333334,175.26416666666668,174.31166666666664,75.085
1930-12-31,1.0727272727272728,8.799999999999999,49.93333333333333,-0.7322580645161284,-10.993548387096778,1.6612007168458778,2.423687916026626,31.090212542833513,15.084704301075268,2.557587045570917,183.43916666666664,176.65083333333334,175.095,174.27,75.08083333333333
1931-12-31,1.0727272727272728,8.799999999999999,49.93333333333333,-0.7322580645161284,-10.993548387096778,2.0901074776478006,1.9889592933947775,116.66265213281342,16.3761917562724,4.212083333333333,183.32583333333335,176.11833333333334,174.50833333333333,173.705,74.3575
1932-12-31,1.0727272727272728,8.799999999999999,49.93333333333333,-0.7322580645161284,-10.993548387096778,2.118671672228402,2.077787047336547,23.472868036103332,14.625683166481272,2.7624792979854162,183.42583333333332,175.94083333333333,174.56583333333333,173.73583333333332,74.5025
1933-12-31,1.0727272727272728,8.799999999999999,49.93333333333333,-0.7322580645161284,-10.993548387096778,2.085649001536098,11.640386584741423,29.0833544197031,14.984063620071682,2.655172811059906,183.44499999999996,175.86749999999998,174.54666666666665,173.67666666666665,74.27583333333334
1934-12-31,1.0727272727272728,8.799999999999999,49.93333333333333,-0.7322580645161284,-10.993548387096778,2.2895692524321554,0.7112135176651306,10.88813102606206,14.74178891449053,2.1021447772657447,183.49749999999997,175.76666666666665,174.27416666666667,173.33166666666668,74.02166666666666
1935-12-31,2.584355362379556,4.802843915343915,45.17277529291285,13.093343573988735,0.3544116699330819,1.7193612391193038,2.485490271377368,64.10804531490015,13.503310291858675,2.231222652795235,183.51,175.89083333333335,174.36083333333337,173.41083333333333,74.00416666666665
1936-12-31,1.6561424731182794,3.3805236270753514,86.30024873316029,14.255516314423437,-0.32628630577184486,1.7522132616487454,2.5880237300704487,81.87988129969901,13.97119948090471,1.750082499073044,183.45916666666665,175.93916666666667,174.39333333333335,173.48833333333334,74.16416666666667
1937-12-31,2.16322434230562,6.07631421744325,64.25024001536097,13.514768403639371,0.358879928315414,1.9517517921146954,0.9820148489503328,12.732553236348302,13.793220686123911,2.31835893497184,183.45416666666665,175.9225,174.60333333333335,173.82000000000002,74.49583333333332
1938-12-31,3.975748207885305,5.899097542242703,36.52975681725683,14.722511520737326,2.896990483252998,1.871632104454685,1.2600230414746545,35.72797459037378,15.133479902713773,3.6805203533026116,183.56083333333333,176.1408333333333,174.68916666666667,173.84083333333334,74.5225
1939-12-31,1.7422759856630823,2.483870967741935,23.36860553239863,15.310609318996415,2.554546100605613,1.8775243215565796,2.29644777265745,33.221269272344536,14.857291346646187,2.992836021505376,183.55499999999998,176.26916666666668,174.72083333333333,173.84583333333333,74.4925
1940-12-31,2.79790503557745,6.422613750728324,83.76330147351653,12.76634995674206,1.1637361250890175,2.3467265447638375,3.3885737238907425,38.59923195084486,12.98493943888271,2.187593622543569,183.38249999999996,176.14166666666668,174.64499999999998,173.795,74.42583333333333
1941-12-31,2.3965245775729653,4.758782784320419,34.310655671436656,14.903850059737158,2.214337861684449,6.575957491582492,16.429960317460317,63.34500495179028,15.278093317972349,2.7738325652841787,183.4416666666667,176.12166666666667,174.58166666666668,173.69999999999996,74.40749999999998
1942-12-31,2.4133602150537636,1.6376408090117769,53.95667931688805,13.838367586560018,1.6176048342956009,5.990756766381767,10.165224358974358,48.66749379652605,14.420070404505887,1.739384280593958,183.54333333333332,176.33416666666665,174.7675,173.87666666666667,74.51666666666667
1943-12-31,3.3749967997951864,3.813856886840757,83.59874858077873,13.701344086021507,0.8629168924636111,2.739155450284482,6.594780219780219,66.67701863354038,12.407465437788018,1.1455657962109584,183.6075,176.6266666666667,175.11250000000004,174.23166666666668,75.13416666666667
1944-12-31,1.8335159436410826,2.071934865900383,27.925434806775,14.924252255592634,2.4503528612038052,1.9493996415770607,2.3895593869731804,20.854696939955065,13.69519466073415,2.9079427759238654,183.50666666666666,176.59666666666666,174.98166666666668,174.09166666666667,74.84583333333333
1945-12-31,2.677939068100359,4.0148681515617,107.67316308243727,13.52432219662058,1.105285833465755,2.7999679979518697,1.5112135176651307,33.04410173160173,12.71255120327701,1.8706189196108556,183.54166666666666,176.57000000000002,175.08916666666664,174.1883333333333,75.06000000000002
1946-12-31,2.0016670639334717,4.203629032258065,65.17049818461109,15.41258629517806,2.018122262046994,1.7213735279057856,2.914842549923195,98.53467424006637,14.4788818484383,2.8164893753200198,183.52083333333334,176.6016666666667,175.03833333333333,174.13583333333335,74.99333333333334
1947-12-31,2.5292174432497014,3.6901433691756274,53.89491019732955,13.565044802867382,1.964537515228562,2.199704301075269,4.4142089093702,64.8423313245894,11.630472408415956,1.4860160941209308,183.54999999999998,176.5666666666667,175.10416666666666,174.235,75.16916666666667
1948-12-31,1.8056808490915834,2.3703034235570386,37.673706675847946,14.44980286738351,1.3888317266098145,1.772798677340335,1.8434584267887208,65.13505498464652,14.722858326697747,2.4982899082364316,183.39333333333335,176.53083333333333,175.09750000000005,174.2208333333333,75.08083333333333
1949-12-31,1.8526510496671786,2.386411930363544,42.26516897081414,14.604917434715823,1.9066007424475195,1.9582046850998462,2.975294418842806,17.064856103731817,15.37210893497184,3.001048232604127,183.4433333333333,176.2108333333333,174.83166666666668,173.97333333333333,74.74083333333334
